ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
Left-PCu---precuneus,Left Precuneus,L. Precuneus,0.247621045972875,1.1635564811291282e-44,0.826320129162,9.96736597740488e-184,-0.230091893730002,0.0175110786853034,0.149684142398409,0.0069337282709406,,
Right-PHG---parahippocampal-gyrus,Right Parahippocampal Gyrus,R. Parahippocampal Gyrus,,,0.297287802900559,1.2431136747371152e-13,0.345627706310898,0.0154164349292995,0.118687060890754,0.0463170584148879,,
Left-PHG---parahippocampal-gyrus,Left Parahippocampal Gyrus,L. Parahippocampal Gyrus,-0.049876150977067,0.0067743083064776,-0.243572613023998,5.493206641869248e-10,0.36177543329422,0.0134218141920992,-0.107122705126986,0.0738210875653396,-0.0476547261102918,0.0284797722625599
Right-PIns--posterior-insula,Right Posterior Insula,R. Post. Insula,,,1.21335341417109,1.6385693228410274e-190,-0.258155150977901,0.0674092593109872,0.23533736283788,3.676128594767209e-05,,
Left-PIns--posterior-insula,Left Posterior Insula,L. Post. Insula,-0.0536440248365877,0.0026025445206642,0.952632916641497,2.1399024647516316e-110,0.542494915003565,0.0003716573276403,-0.105266788826281,0.0681527672972232,-0.0423788260314304,0.0822208936064624
Right-PO----parietal-operculum,Right Parietal Operculum,R. Parietal Operculum,0.384807722674838,9.313790798311612e-101,0.638144155611521,1.3264293397117505e-108,,,0.104635384353319,0.0527189020078384,,
Left-PO----parietal-operculum,Left Parietal Operculum,L. Parietal Operculum,0.385019553886878,2.907791597912508e-103,0.533879685975088,1.1400979379668884e-78,,,0.213959929630598,3.676128594767209e-05,,
Right-PoG---postcentral-gyrus,Right Postcentral Gyrus,R. Postcent. Gyrus,0.21009993596051,1.3223950063475324e-29,0.194230167631502,1.2128285378510297e-12,-0.754595016133823,1.2176396900237616e-14,0.173021495632378,0.003414429205789,0.13885761546995,1.187448301667626e-24
Left-PoG---postcentral-gyrus,Left Postcentral Gyrus,L. Postcent. Gyrus,0.207258499280256,2.149667604178349e-28,0.147172181876754,9.223943234919878e-09,-0.755831893342309,1.5853557161836123e-16,0.145997146316746,0.0158355668539173,0.0902434768014092,3.0447527766502996e-12
Right-POrG--posterior-orbital-gyrus,Right Posterior Orbital Gyrus,R. Post. Orbital Gyrus,0.168085834472443,2.1146454581252182e-23,0.824004416396588,3.4484288119482155e-84,1.16800555531737,1.5853557161836123e-16,-0.100104089462612,0.0651737315571564,,
Left-POrG--posterior-orbital-gyrus,Left Posterior Orbital Gyrus,L. Post. Orbital Gyrus,0.129382421621725,3.829574694853368e-14,0.724654591612569,2.6061680918865332e-64,0.749633894682412,2.226992915319264e-07,,,,
Right-PP----planum-polare,Right Planum Polare,R. Planum Polare,0.343359082586808,6.614476884519452e-84,-0.691035193089796,3.410936455974945e-72,-0.779530809730527,1.0853661844672028e-08,,,-0.111106138326786,1.797094570796244e-08
Left-PP----planum-polare,Left Planum Polare,L. Planum Polare,0.305972701605449,3.522315489475388e-65,-0.869052122739945,1.0961923105379181e-102,-0.38530607582279,0.0085893211444201,,,-0.0725809183457919,0.0006355221878018
Right-PrG---precentral-gyrus,Right Precentral Gyrus,R. Precentral Gyrus,0.251331697171642,2.7366502803338314e-41,0.760058584250159,4.236830944895544e-171,-0.62964006155577,2.4680445357871566e-11,,,0.0531707949251613,8.067694358232084e-05
Left-PrG---precentral-gyrus,Left Precentral Gyrus,L. Precentral Gyrus,0.236689660028738,5.61746732767296e-36,0.624149877545082,3.4103895369470605e-131,-0.441223105880199,1.7691632644775944e-07,,,,
